FID,AREA,PERIMETER,name,x,y,val
121,0,0,电白县,111.0019989,21.5114994,0
122,0,0,吴川市,110.7789993,21.4468994,0
123,0,0,遂溪县,110.2509995,21.3834,0
124,0,0,阳西县,111.6279984,21.7509003,0
125,0,0,雷州市,110.0879974,20.9023991,0
126,0,0,徐闻县,110.163002,20.3300991,0
127,0,0,琼山市,110.3580017,20.0086002,0
128,0,0,龙门县,114.2429962,23.7397003,0
129,0,0,博罗县,114.2740021,23.1727009,0
130,0,0,五华县,115.7630005,23.9326,0
131,0,0,紫金县,115.1729965,23.6434994,0
132,0,0,揭西县,115.836998,23.4349995,0
133,0,0,陆河县,115.6520004,23.3113995,0
134,0,0,丰顺县,116.1709976,23.7677002,0
135,0,0,澄海市,116.7679977,23.4636002,0
136,0,0,普宁市,116.1679993,23.3006001,0
137,0,0,潮阳市,116.5940018,23.2614002,0
138,0,0,惠来县,116.2890015,23.0396004,0
139,0,0,云霄县,117.3290024,23.9599991,0
140,0,0,诏安县,117.1750031,23.7057991,0
141,0,0,东山县,117.4260025,23.7000008,0
142,0,0,饶平县,117.0039978,23.6765995,0
143,0,0,南澳县,117.0169983,23.4258995,0
144,0,0,澎湖县,119.5770035,23.5718002,0
145,0,0,惠东县,114.7129974,22.9883003,0
146,0,0,惠阳县,114.4629974,22.7996998,0
147,0,0,罗湖区,114.1350021,22.5554008,0
148,0,0,沙头角区,114.2220001,22.5524998,0
149,0,0, ,114.0739975,22.5424004,0
150,0,0,海丰县,115.3349991,22.9762001,0
151,0,0,陆丰市,115.6409988,22.9489002,0
152,0,0,云林县,120.538002,23.7185001,0
153,0,0,台南县,120.314003,23.3139992,0
154,0,0,花莲县,121.6029968,23.9836006,0
155,0,0,屏东县,120.4850006,22.6828995,0
156,0,0,高雄县,120.3600006,22.6317997,0
157,0,0,台东县,121.1470032,22.7577,0
158,0,0,嘉义县,120.435997,23.4838009,0
159,0,0,南投县,120.6800003,23.9111004,0
160,0,0,亚东县,88.9017029,27.4764996,0
161,0,0,错那县,91.952301,27.9939995,0
162,0,0,贡山独龙族怒族自治县,98.6615982,27.7476997,0
163,0,0,维西傈僳族自治县,99.2851028,27.1865997,0
164,0,0,宁蒗彝族自治县,100.8499985,27.2887001,0
165,0,0,木里藏族自治县,101.2799988,27.9342995,0
166,0,0,盐源县,101.512001,27.4221992,0
167,0,0,福贡县,98.8795013,26.9013004,0
168,0,0,剑川县,99.8985977,26.5314999,0
169,0,0,兰坪白族普米族自治县,99.405899,26.4351006,0
170,0,0,洱源县,99.9490967,26.1131992,0
171,0,0,永胜县,100.7480011,26.6898994,0
172,0,0,鹤庆县,100.1790009,26.5599003,0
173,0,0,盐边县,101.5449982,26.9136009,0
174,0,0,华坪县,101.2639999,26.6306992,0
175,0,0,仁和区,101.7440033,26.5021,0
176,0,0,永仁县,101.6740036,26.0631008,0
177,0,0,泸水县,98.8186035,25.9832993,0
178,0,0,腾冲县,98.4947968,25.0247993,0
179,0,0,云龙县,99.3747025,25.8936996,0
180,0,0,漾濞彝族自治县,99.9654999,25.6543999,0
181,0,0,永平县,99.5192032,25.4636993,0
182,0,0,宾川县,100.5780029,25.8307991,0
183,0,0,祥云县,100.5589981,25.4796009,0
184,0,0,弥渡县,100.4940033,25.3426991,0
185,0,0,巍山彝族回族自治县,100.3089981,25.2304993,0
186,0,0,南涧彝族自治县,100.5250015,25.0561008,0
187,0,0,大姚县,101.3249969,25.7262001,0
188,0,0,元谋县,101.8769989,25.7045002,0
189,0,0,姚安县,101.2419968,25.5142002,0
190,0,0,牟定县,101.5360031,25.3180008,0
191,0,0,南华县,101.2770004,25.1970005,0
192,0,0,盈江县,97.9365997,24.7080002,0
193,0,0,陇川县,97.9623032,24.3659992,0
194,0,0,瑞丽市,97.8590012,24.0130997,0
195,0,0,梁河县,98.2947006,24.8080997,0
196,0,0,龙陵县,98.6902008,24.5907001,0
197,0,0,畹町市,98.0768967,24.0860996,0
198,0,0,昌宁县,99.6065979,24.8316002,0
199,0,0,施甸县,99.177002,24.7329998,0
200,0,0,凤庆县,99.9108963,24.5923004,0
201,0,0,永德县,99.2507019,24.0298004,0
202,0,0,景东彝族自治县,100.8359985,24.4526005,0
203,0,0,云县,100.1279984,24.4491005,0
204,0,0,双柏县,101.6399994,24.6947994,0
205,0,0,新平彝族傣族自治县,101.9899979,24.0762997,0
206,0,0,西区,101.6090012,26.6135006,0
207,0,0,布拖县,102.8040009,27.7134991,0
208,0,0,德昌县,102.1729965,27.4060001,0
209,0,0,普格县,102.5400009,27.3812008,0
210,0,0,宁南县,102.7549973,27.0713005,0
211,0,0,大关县,103.8949966,27.7539005,0
212,0,0,金阳县,103.2460022,27.7012997,0
213,0,0,鲁甸县,103.5449982,27.1996002,0
214,0,0,彝良县,104.0500031,27.6299992,0
215,0,0,镇雄县,104.8700027,27.4414997,0
216,0,0,赫章县,104.7220001,27.1280003,0
217,0,0,威信县,105.0479965,27.8430004,0
218,0,0,大方县,105.6060028,27.1476002,0
219,0,0,仁怀市,106.4140015,27.8153992,0
220,0,0,遵义县,106.822998,27.5398006,0
221,0,0,金沙县,106.2180023,27.4664001,0
222,0,0,息烽县,106.7310028,27.0981007,0
223,0,0,开阳县,106.9670029,27.0594006,0
224,0,0,黔西县,106.0370026,27.0347004,0
225,0,0,凤冈县,107.7249985,27.9717999,0
226,0,0,绥阳县,107.1829987,27.9612007,0
227,0,0,湄潭县,107.4779968,27.7724991,0
228,0,0,余庆县,107.8929977,27.2229996,0
229,0,0,瓮安县,107.4830017,27.0736008,0
230,0,0,巧家县,102.9199982,26.9171009,0
231,0,0,米易县,102.1119995,26.8894997,0
232,0,0,会理县,102.2340012,26.6623993,0
233,0,0,会东县,102.5670013,26.6438999,0
234,0,0,会泽县,103.2949982,26.4211006,0
235,0,0,威宁彝族回族苗族自治县,104.2900009,26.8607998,0
236,0,0,水城县,104.8730011,26.5781002,0
237,0,0,钟山区,104.8730011,26.5781002,0
238,0,0,宣威市,104.1060028,26.2194004,0
239,0,0,纳雍县,105.3769989,26.7756996,0
240,0,0,织金县,105.7630005,26.6609993,0
241,0,0,普定县,105.7460022,26.3120003,0
242,0,0,六枝特区,105.4779968,26.2047997,0
243,0,0,镇宁布依族苗族自治县,105.7639999,26.0550995,0
244,0,0,修文县,106.5920029,26.8435001,0
245,0,0,乌当区,106.7639999,26.6331005,0
246,0,0,清镇市,106.4680023,26.5566006,0
247,0,0,龙里县,106.9810028,26.4589005,0
248,0,0,花溪区,106.6689987,26.4286003,0
249,0,0,平坝县,106.2610016,26.4183006,0
250,0,0,惠水县,106.6559982,26.1392994,0
251,0,0,长顺县,106.4520035,26.030899,0
252,0,0,黄平县,107.9020004,26.8964005,0
253,0,0,福泉市,107.5130005,26.7017002,0
254,0,0,贵定县,107.2399979,26.5862007,0
255,0,0,麻江县,107.5879974,26.4990997,0
256,0,0,丹寨县,107.7919998,26.2005997,0
257,0,0,禄劝彝族苗族自治县,102.461998,25.5632,0
258,0,0,武定县,102.3980026,25.5363998,0
259,0,0,富民县,102.4899979,25.2327995,0
260,0,0,禄丰县,102.0800018,25.1478996,0
261,0,0,西山区,102.6210022,25.0412006,0
262,0,0,官渡区,102.7529984,25.0158005,0
263,0,0,寻甸回族彝族自治县,103.2539978,25.5627003,0
264,0,0,马龙县,103.5800018,25.4288998,0
265,0,0,嵩明县,103.0329971,25.3418007,0
266,0,0,陆良县,103.6620026,25.0328007,0
267,0,0,盘县特区,104.6500015,25.7936993,0
268,0,0,普安县,104.9520035,25.7889004,0
269,0,0,富源县,104.2490005,25.6732006,0
270,0,0,关岭布依族苗族自治县,105.6190033,25.9512997,0
271,0,0,晴隆县,105.2160034,25.8339996,0
272,0,0,兴仁县,105.1819992,25.4375992,0
273,0,0,贞丰县,105.6549988,25.3875999,0
274,0,0,安龙县,105.4670029,25.1158009,0
275,0,0,紫云苗族布依族自治县,106.0830002,25.7537994,0
276,0,0,罗甸县,106.7519989,25.4290009,0
277,0,0,望谟县,106.1019974,25.1713009,0
278,0,0,三都水族自治县,107.8619995,25.9927006,0
279,0,0,平塘县,107.3259964,25.8362007,0
280,0,0,独山县,107.5429993,25.8295994,0
281,0,0,荔波县,107.8779984,25.4148998,0
282,0,0,天峨县,107.1559982,25.0091991,0
283,0,0,安宁市,102.473999,24.9188995,0
284,0,0,呈贡县,102.7990036,24.9018002,0
285,0,0,晋宁县,102.5999985,24.6737995,0
286,0,0,澄江县,102.9110031,24.6737003,0
287,0,0,易门县,102.1500015,24.6730995,0
288,0,0,江川县,102.7490005,24.2966995,0
289,0,0,华宁县,102.9280014,24.1977997,0
290,0,0,峨山彝族自治县,102.3980026,24.1667004,0
291,0,0,通海县,102.7559967,24.1065006,0
292,0,0,宜良县,103.1419983,24.9116001,0
293,0,0,师宗县,103.9909973,24.8323002,0
294,0,0,路南彝族自治县,103.2600021,24.7619991,0
295,0,0,泸西县,103.7630005,24.5324001,0
296,0,0,弥勒县,103.4329987,24.4097996,0
297,0,0,罗平县,104.3030014,24.8836002,0
298,0,0,丘北县,104.1920013,24.0494003,0
299,0,0,册亨县,105.8099976,24.9932995,0
300,0,0,隆林各族自治县,105.3310013,24.781601,0
301,0,0,西林县,105.0899963,24.4983997,0
302,0,0,广南县,105.0619965,24.0533009,0
303,0,0,乐业县,106.5619965,24.7928009,0
304,0,0,凌云县,106.5759964,24.3490009,0
305,0,0,田林县,106.2350006,24.3022003,0
306,0,0,南丹县,107.5350037,24.9841003,0
307,0,0,凤山县,107.0479965,24.5435009,0
308,0,0,东兰县,107.3730011,24.5209999,0
309,0,0,巴马瑶族自治县,107.2460022,24.1469994,0
310,0,0,思南县,108.2419968,27.9407005,0
311,0,0,江口县,108.8430023,27.6954994,0
312,0,0,石阡县,108.2320023,27.5224991,0
313,0,0,玉屏侗族自治县,108.9120026,27.2364998,0
314,0,0,岑巩县,108.7399979,27.2166996,0
315,0,0,镇远县,108.4189987,27.0548,0
316,0,0,施秉县,108.1190033,27.0377998,0
317,0,0,凤凰县,109.598999,27.9528999,0
318,0,0,麻阳苗族自治县,109.8040009,27.8799992,0
319,0,0,万山特区,109.2089996,27.5209999,0
